Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
2.4997996,2.865171,14621.20596,13.8516093,907.8624196,1399.989438,5650,4.28867,1.13732
1.66226,3.321,6030,13.3343,7149.89,2561,7301,4.23,1.64
0.7724825,1.3744974,211.3168519,4.1624907,60276.50005,3996.287792,8271,3.95,2.5027299
1.6268695,3.231,1502,2.36498,1946.23,1850,5034,4.64,0.73
13.5499,1.795,1180,6.24633,31.6652,660,6209,4.09,1.63
4.43651,3.365,1520,19.9664,8233.41,2653,7101.9,3.91,2.32
3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,6050,4.45061,1.02
8.34998,1.836,16680,11.1424,19.9348,588,4236,4.52,0.74
4.0686405,1.8373729,2650.095001,3.7548333,84.108766,772.378302,4236,4.52,0.741921
0.5860366,0.8098934,410.5241553,4.906408,26813.10571,3263.672181,5579,3.67,2.39803
1.5502952,2.938,411,3.34528,10796.6,2839,7851,4.17,1.86
1.80709,3.297,450,4.86242,7233.01,2569,6244,3.84,2.2
18.6922101,7.765,11126,18.1458,282.175,1141,6277,4.09,1.65
8.0277326,4.284,5705,9.06883,248.619,1106,5962.7,4.38,1.15
12.5187279,5.38,2320,5.58857,626.362,1393,5729,4.47,0.98
6.2586065,3.201,813,2.51593,232.392,1087,5729,4.47,0.98
26.3208756,4.414,800,2.71349,26.4328,631,5729,4.47,0.98
18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,5729,4.47,0.977727
0.64971,2.076,620,6.23181,83182,4731,9994,4.02,2.59
4.4780798,4.513,1054,11.3678,31621.7,3715,7947,4.2,1.83
3.2887898,3.4367717,7005.72479,10.5135877,759.3373533,1338.839265,5800,4.28004,1.24175
16.9487087,4.2887767,156467.548,45.2204505,78.263287,758.5937679,5894.7,4.37,1.1179
3.3686634,3.012,3288,42.2321,9856.24,2775,7518,3.82,2.68
11.2071839,4.366,3276,17.4989,813.063,1487,6152,3.84,2.24
4.8878037,2.184,4279,5.29152,71.6805,810,4757.3,4.56,0.76
0.660179,1.6349369,473.0939303,6.1672487,252487.7639,5717.153248,8598.7,4.1,2.62432
10.9278415,2.468,2743,49.1695,270.142,1129,6259,3.59,2.92
5.5514888,4.335,9493,15.8043,802.858,1482,6403.9,4.16,1.55
4.7423709,2.4988145,12650.81104,10.5505922,209.7699043,970.6340996,5377,4.42476,0.877585
1.4810903,4.1588291,6788.514539,20.3402421,33326.73049,3446.021057,9435,4.11,2.28773
3.4741012,3.317,15748,21.2912,3453.07,2084.333087,8894.8,4.38,1.62
21.745537,4.196,659,2.10208,28.2504,642,5704,4.51,0.93
13.0727479,3.044,4080,35.7944,221.343,1074,5709.8,3.37,3.59
2.7985802,2.3801043,16708.7152,11.9514993,332.556249,1089.145817,4920,4.49371,0.906655
2.2552845,2.05,20820,14.688,549.715,1348,5787,4.5,0.96
1.8824539,2.46,1391,8.29008,15173.2,3091,5900.4,4.39,1.13
2.1358631,1.559,10325,23.6019,1540.95,1745,5969,4.17,1.5
3.5862962,3.3710943,5729.324686,16.4747611,1787.595594,1658.39152,5704.8,3.84,2.00441
1.8296155,2.166,1406,29.3616,32867,3751,7875,3.61,3.5
11.1876137,3.183,4924,31.8624,838.609,1499,7266,4.06,2.05
7.0643978,2.424,8268,9.39131,104.311,890,5429.6,4.44,0.96
8.9534775,2.696,1136,2.35888,45.5604,723,5029.5,4.61,0.76
7.5022708,2.605,1760,5.55812,129.866,940,6229,4.31,1.27
14.0077666,5.8727493,5924.834967,12.4023108,264.4796635,1028.532029,6557.7,4.18,1.57435
1.692892,2.886,1418,11.2371,187927,5800,9121.5,4.21,2.1
2.6652007,3.49,819,2.35964,2905.35,2045,4043.4,4.69,0.56
6.0344667,1.89,1800,4.44029,64.2648,788,5586,4.36763,1.05
9.6867516,2.512,1669,3.00336,41.6645,707,4738.1,4.59,0.73
2.1031647,5.059,7142,16.7087,14140,3037,6122,3.93,1.93
5.7484439,1.76,1041,2.35215,75.272,820,4534,4.61,0.69
1.1967018,1.879,824,10.3239,25917.9,3534,5997,4,1.73
11.2464616,7.391,7576,17.6677,365.938,1218,6115.7,3.89,2.01
2.5941968,0.861,907,4.47229,300.014,1159,6389,4.26,1.4
5.5411114,2.467,633,2.04482,258.843,1117,5332,4.56429,0.82
10.6917268,3.002,535,1.79811,42.2657,710,5332,4.56429,0.82
15.7335693,3.288,2540,24.3218,367.588,1219,6800,3.91,2.21
2.3106428,1.294,6911,8.76741,203.685,1052,5339.9,4.41,0.99
5.5376617,2.517,5390,15.6557,351.929,1206,6689,3.96,2.06
4.5960377,4.744,5000,16.2166,2340.04,1937,7649,4.04,2.12
3.612771,4.142,11794,19.3662,5011.92,2344,8324,4.28,1.71
3.6714717,2.149,4340,10.678,324.114,1182,5618,4.06,1.54
0.8352406,1.043,2065,6.4875,5021.63,2345,6105,4.31,1.24
2.4919771,1.4338141,2093.95942,2.2187585,39.6452664,639.9817426,3948,4.68962,0.482388
25.5195307,6.6877451,558.3758637,2.9641461,45.6335702,662.8890748,5742.22,4.29,1.17321
1.3812115,2.7372191,117.7553083,2.2402361,5767.367364,2222.614552,6711,4.06358,1.7756799
2.3922703,9.0053425,63.575141,3.5905923,18015.5142,2954.822621,6090,3.29864,4.1956
0.831542,1.985538,248.969585,1.881684,3776.609537,1999.379666,5824,4.438,1.1512
2.6282553,2.0930597,75.2858004,0.9817044,955.7979966,1418.114438,6282,4.37809,1.10743
3.4239436,1.9601023,443.6391381,1.7581475,294.3078003,1056.380055,5626,4.56195,0.823019
10.983042,3.7478987,725.1724567,2.5070075,62.2119369,716.2888325,5626,4.56195,0.823019
17.726449,3.4404719,747.7725499,2.261664,32.8605569,610.6445415,5626,4.56195,0.823019
40.7199388,4.2436925,355.619391,3.2352713,47.143655,668.3063106,5914,3.98,1.55953
79.3739596,5.392,1227,2.17454,3.05331,368,5168.33,4.60584,0.77
18.1663644,2.464,624,2.80447,16.6472,562,5572.9,3.83,1.14
105.5850893,11.6068811,462.9116325,2.5033335,8.047858,429.5758177,5909.57,4.26154,1.1142
27.2149622,3.7190483,4731.404623,8.3475973,25.4860381,573.0537137,6270,4.54537,0.989667
19.1807264,3.9621084,544.5602695,2.4311768,32.9407734,611.0168649,5262.4,3.98,0.937973
1.2124493,0.9984653,501.2911711,0.879419,336.2098533,1092.125026,3751,4.75718,0.518
4.5541831,7.8146963,187.8286128,0.8887417,54.8401357,694.0557871,4280,4.61209,0.635812
41.4856125,6.6899368,959.7522291,12.5121956,271.196017,1035.00054,6354,4.24472,3.4868701
13.7738265,2.9992376,338.2166234,1.8971927,67.2831271,730.4597521,5455.96,4.46737,1.01825
1.9142544,3.256,248,2.04421,6105.33,2462,6734,4.18582,1.59
5.0780325,1.2100353,5923.128307,2.6347763,8.1743139,431.253644,3318,4.9581,0.334125
91.6827832,9.7504857,713.2183569,3.239855,5.9944903,399.0780255,5802,4.44521,1.01814
10.1944993,2.2648785,317.3261147,2.7392825,231.1087411,994.4291411,6082,4.33287,1.32661
14.64319,2.5483426,242.7923919,3.41248,391.2017546,1134.279147,6516,3.99366,2.04178
4.1782656,1.675904,2537.67816,2.1023854,13.9295288,492.7241583,3442,4.893,0.404403
17.9453645,3.0740072,5480.684864,3.3839124,1.9952383,303.1226876,3442,4.893,0.404403
13.896396,3.5885605,748.5332881,2.4586343,52.3837065,686.1495861,5522.87,4.67156,0.888163
8.1213102,3.1040945,594.6443745,2.3157186,107.208941,820.6868999,5522.87,4.67156,0.888163
3.9287851,1.8165271,485.9762569,2.329279,376.4612937,1123.439869,5668.15,4.52573,0.986943
27.3613778,4.0586418,20690.66843,6.4522449,0.8345555,243.7718547,3050,4.438,0.44128
29.0497517,7.117,318,2.84674,257.066,1115,8208,4.25979,1.8
3.3088922,6.114,4736,24.9862,17074.7,3184,6188,4.27166,2.62
25.0571312,7.5424225,533.486013,3.2396838,53.1389289,688.6094029,5696,4.26563,1.15281
24.2454967,3.3725583,6260.67036,3.878568,0.05273,122.2177444,3535,4.84874,0.465271
14.2545623,4.7250029,7899.693956,10.7048234,90.0658585,785.7055082,5739,4.28235,1.09597
14.1758947,3.7543827,907.1324529,2.6231641,53.8795095,690.9961983,5723.87,4.438,0.864173
19.5901578,4.002861,1182.667864,3.0026428,35.0031418,620.3638839,5723.87,4.438,0.864173
6.2036219,3.01098,548.9044399,2.056748,162.1675094,910.1452592,5723.87,4.438,0.864173
3.79589,2.4602856,317.5272928,1.553135,312.1807495,1072.065399,5723.87,4.438,0.864173
2.2645386,3.8193701,15019.94209,5.1936764,34.1873897,616.7174475,3443,4.81617,0.411471
3.4447015,1.912,796,2.00495,231.437,1086,3912,4.62642,0.63
3.0300715,2.5466671,21794.6137,12.7529892,318.4581858,1077.414594,5242.82,4.52404,0.857369
12.72038,2.401,1070,4.96046,41.1042,705,6212,4.17664,1.48
6.238755,3.6178567,373.5681138,2.9728283,587.1290759,1255.46077,6212,4.17664,1.47768
3.2947689,1.7483103,1324.040277,2.5248559,56.9377632,700.5995436,3853,4.63168,0.62326
0.7645807,1.07057,394.9832006,1.2407226,399.2723837,1140.084569,3853,4.63168,0.62326
12.6396982,3.3830702,3292.681286,4.6025162,39.6563977,640.0266601,5217,4.59186,0.789425
1.7208555,1.8346409,10014.25874,13.4646314,2259.389668,1758.399429,5832.83,4.20893,1.33402
4.7802597,1.4588658,1015.455004,7.6126429,1770.015134,1654.298952,5826,3.7213,2.3387201
0.3814849,0.565,570,2.0605,931.396,1539,4255,4.55641,0.71
4.6595169,0.9011821,1725.170626,2.1961507,17.2664038,519.9004855,3489,4.74553,0.490729
6.4002807,2.1559875,1026.601873,2.2730301,56.4368797,699.0536347,4599,4.58487,0.720551
4.8204512,1.756,1930,2.36747,17.8782,572,3692,4.71598,0.52
18.6548829,5.4431451,1495.444947,4.3869878,27.832077,585.8091542,5141,4.49143,0.876154
4.3074513,2.3379196,1094.84195,3.2819879,196.4755358,954.8757629,5141,4.49143,0.876154
5.9041278,2.7678313,773.9266468,2.4489454,129.0410781,859.6105665,5141,4.49143,0.876154
37.9251983,3.5345219,1370.788854,3.241643,10.8068346,462.4282696,5141,4.49143,0.876154
15.9234883,4.021,493,2.18203,48.5414,735,5711.85,4.38315,1.08
4.3601536,2.3408909,5592.290918,6.9564258,202.0738994,961.6063113,5227,4.50479,0.874131
13.0791581,2.97,1143,3.25485,48.6058,735,5453,4.41707,1
4.6517186,2.709,978,2.66889,540.772,1343,5154,4.47072,0.85
9.1549418,2.457,1101,2.62011,42.2592,710,5154,4.47072,0.85
19.9815709,2.724,909,2.54717,16.5853,562,5154,4.47072,0.85
1.4415044,0.9274524,547.3172736,3.8345209,5519.1845,2198.307682,6603,4.438,1.58365
1.1219715,0.8226121,3997.644592,3.9968417,1132.461295,1479.536186,5780,4.67672,0.624
4.6756655,1.914,738,4.03134,230.204,1085,5779,4.88162,1.45
10.288886,1.391,854,2.63881,9.06856,483,5126,4.49772,0.87
5.4526479,3.401,7750,14.5502,433.78,1271,6509,4.17233,1.57
10.2613397,4.855,726,3.60391,372.358,1152,6124,4.15391,1.49
3.4779776,2.5103489,27021.69324,12.5541925,153.1388971,897.2038496,4699,4.54638,0.765001
3.0354017,2.8809533,16196.21582,14.1334903,726.7556694,1324.240471,5751,4.35036,1.07224
