koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,14.17098745,359.82956,0.041,3.4804,3.07E+03,4.19,608,32.22,93.6,5107,4.565,0.777
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,31.9734169,133.86598,1.24,13.262,1.41E+03,24.1,442,9.01,62.5,4931,4.595,0.774
CONFIRMED,CANDIDATE,0,0,0,0,3.990105908,355.840837,0.582,2.4108,6.15E+03,7.45,1124,378.53,247.8,5926,4.519,0.913
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,0.52205862,133.138446,1.24,2.0847,1.38E+03,27.16,2022,3951.57,169,5359,4.478,0.878
CONFIRMED,CANDIDATE,0,0,0,0,10.03538181,137.471481,0.079,3.4062,2.83E+03,4.42,786,90.33,150.9,5813,4.561,0.833
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,53.10094262,135.9717179,0.988,2.2868,2.00E+04,24.02,464,10.93,1108.5,5465,4.396,0.973
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,5.80181368,137.57807,0.967,4.119,2.70E+02,4.52,1491,1168.82,35.3,6020,3.86,2.097
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,15.6402515,359.07991,1.167,6.222,8.00E+02,18.11,640,39.55,19.3,5346,4.491,0.826
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0.691666384,135.94927,0.552,1.9603,3.56E+01,0.58,2031,4014.57,20.8,5687,4.408,0.943
CONFIRMED,CANDIDATE,0,0,0,0,5.62154315,136.89013,0.742,2.4143,1.72E+02,1.37,992,229.04,35.3,5637,4.439,0.96
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,1.074106954,133.84323,0.122,1.9797,6.45E+01,0.52,1255,588.96,48.5,4699,4.637,0.676
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,5.117401517,134.586518,0.683,4.3056,6.29E+04,28.41,1130,385.51,456.6,6161,4.454,1.053
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.20233673,179.533899,0.004,3.6973,4.60E+04,23.53,1246,570.87,258.8,6185,4.396,1.094
CONFIRMED,CANDIDATE,0,0,0,0,8.50698069,134.64421,0.816,2.938,2.96E+02,1.9,900,155.42,20.7,5822,4.428,0.986
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,15.60865244,144.29934,0.985,6.26,3.11E+02,6.17,1419,958.55,46.9,8014,3.94,2.43
CONFIRMED,CANDIDATE,0,0,0,0,0.669310092,134.131388,0.157,1.6274,1.32E+02,1.13,1983,3643.96,75.3,5475,4.426,1.003
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,4.494498254,134.77583,1.149,1.9742,2.48E+02,62.11,1667,1824.84,39.3,5117,3.578,3.403
CONFIRMED,CANDIDATE,0,0,0,0,44.9306706,140.2077,0.481,6.539,4.38E+02,2.49,565,24.17,33.8,6121,4.397,1.164
CONFIRMED,CANDIDATE,0,0,0,0,14.13175309,142.26044,0.848,4.0136,1.03E+03,3.02,675,49.18,40.1,5616,4.564,0.822
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,1.061934816,133.84801,1.25,3.2551,4.37E+02,25.72,1660,1789.63,74.5,5730,4.545,0.87
