koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
CONFIRMED,CANDIDATE,0,0,0,0,11.41926141,137.66894,0.242,3.9908,9.16E+02,1.48,419,7.32,58,3823,4.765,0.492
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,5.93821065,136.52839,1.646,2.5128,5.23E+02,61.63,996,231.93,33.6,6123,4.545,0.85
CANDIDATE,CANDIDATE,0,0,0,0,268.9410974,360.070904,0.765,5.4434,9.01E+03,13.57,321,2.52,120.4,5798,4.224,1.306
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,0.655001616,133.176794,1.121,1.8136,2.71E+02,31.77,3162,23595.49,104.5,6426,3.965,2.089
CANDIDATE,CANDIDATE,0,0,0,0,80.9669561,160.97672,0.007,2.5276,4.73E+03,5.04,364,4.14,52,5611,4.61,0.737
CONFIRMED,CANDIDATE,0,0,0,0,33.1996355,153.66086,0.017,5.022,1.11E+03,2.85,485,13.09,32.6,5102,4.463,0.88
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,8.65306587,134.30886,1.222,4.486,1.05E+03,19.78,633,37.94,43,4641,4.589,0.694
CANDIDATE,CANDIDATE,0,0,0,0,6.80082032,359.17999,0.597,1.9883,7.00E+02,1.88,697,55.83,25.5,4805,4.633,0.688
CONFIRMED,CANDIDATE,0,0,0,0,19.30581662,373.18998,0.001,4.2902,7.09E+02,4,815,104.41,36.3,5661,4.09,1.522
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,3.221785738,136.141517,0.777,3.3411,4.64E+04,25.03,1357,800.37,336.4,6250,4.411,1.041
FALSE POSITIVE,FALSE POSITIVE,1,0,0,0,0.6243875,133.0436541,1.157,1.92102,3.69E+04,29.45,1639,1693.36,628.3,5211,4.644,0.618
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,18.61009258,139.0850449,1.258,4.98308,5.08E+04,55.23,686,52.24,1309.3,6077,4.526,0.891
CONFIRMED,CANDIDATE,0,0,0,0,13.22175358,139.570627,0.451,2.7884,8.77E+02,2.38,640,39.56,93.6,5211,4.556,0.799
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.137525054,133.805565,1.238,2.68228,1.80E+04,42.74,1746,2197.52,633.1,5912,4.467,0.937
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,23.79993927,152.5654761,1.137,5.02319,6.02E+04,51.74,637,38.92,2065.8,5934,4.473,0.957
CONFIRMED,CANDIDATE,0,0,0,0,7.16893064,135.67854,0.573,4.6766,1.13E+02,1.61,1187,469.56,36.3,6221,4.198,1.458
CANDIDATE,CANDIDATE,0,0,0,0,54.325574,142.236,0.154,9.86,4.42E+01,0.76,545,20.85,7.7,6343,4.411,1.137
CANDIDATE,CANDIDATE,0,0,0,0,20.01959599,150.8362184,,7,,,,,,,,
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.22775877,133.78679,1.111,2.7545,4.61E+04,48.79,1859,2809.86,292.7,6207,4.412,1.044
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,40.24649897,161.306577,0.877,6.0203,1.59E+05,97.54,768,82.27,420.9,6594,4.051,1.691
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.27999662,133.640649,0.739,5.7777,1.28E+04,20.74,2000,3775.07,366.8,6594,4.051,1.691
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.48658617,134.110364,0.079,2.7189,4.21E+04,24.39,1461,1077.69,91.6,5892,4.35,1.198
CONFIRMED,CANDIDATE,0,0,0,0,5.729317577,138.559971,0.597,1.1816,8.65E+02,2.41,850,123.03,59,5320,4.589,0.786
CONFIRMED,CANDIDATE,0,0,0,0,11.77613232,142.705753,0.54,2.8971,1.43E+03,2.08,446,9.37,163.5,3980,4.722,0.54
CONFIRMED,CANDIDATE,0,0,0,0,11.60908533,133.99324,0.03,2.2603,4.89E+02,1.71,671,48.06,34.1,5320,4.589,0.786
CANDIDATE,CANDIDATE,0,0,0,0,162.0479502,278.880573,0.663,9.8974,4.84E+03,11.52,437,8.65,370.2,6309,4.16,1.567
FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0.530967162,133.849416,1.167,3.3659,2.45E+02,23.72,2704,12644.75,125.5,6449,4.316,1.193
CONFIRMED,CANDIDATE,0,0,0,0,40.05881661,169.91063,0.819,5.595,1.24E+03,3.43,489,13.57,62.6,5668,4.545,0.868
CONFIRMED,CANDIDATE,0,0,0,0,6.09747233,354.05919,0.012,3.431,2.18E+02,2.22,1197,485.84,17.4,5661,4.09,1.522
CONFIRMED,CANDIDATE,0,0,0,0,56.637918,135.51975,0.298,6.172,5.90E+02,3.68,570,24.87,20.9,5661,4.09,1.522
FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,2.243016513,133.45086,0.737,2.721,3.00E+02,1.37,1167,438.46,59.1,5462,4.614,0.732
FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,8.6531216,134.30147,1.214,4.39,6.55E+02,22.58,772,84.05,35.7,5421,4.564,0.852
CONFIRMED,CANDIDATE,0,0,0,0,8.99088621,136.73923,0.77,4.2447,4.70E+02,2.78,960,200.35,93.6,5881,4.315,1.171
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,34.06456641,150.452048,0.524,9.6114,2.85E+04,15.57,570,25,1305.9,6161,4.517,0.892
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,4.350087749,134.800238,0.986,2.6428,2.36E+04,24.77,1136,393.2,192.2,6060,4.495,0.953
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,1.744101106,134.50867,0.618,1.5497,9.68E+03,7.21,1016,251.54,152.6,4368,4.593,0.703
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,7.981187121,133.802114,1.036,1.8071,7.61E+03,18.75,966,205.88,202.1,6217,4.472,0.989
FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,4.118775582,357.261244,0.754,3.76,2.65E+03,4.48,1067,306.75,125.6,5944,4.579,0.802
CANDIDATE,CANDIDATE,0,0,0,0,1.694740233,355.357543,0.671,1.6864,1.45E+03,2.12,797,95.14,92.3,3764,4.739,0.527
FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,0.971933156,133.853925,1.42,1.9265,4.79E+03,50.75,1754,2240.48,223.1,5592,4.445,0.931
FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,121.5991278,137.27469,5.011,15.1596,1.05E+04,379.63,358,3.87,297,6036,4.551,0.847
CANDIDATE,CANDIDATE,0,0,0,0,15.06806077,363.549714,0.88,3.3011,1.94E+04,16.43,742,71.78,282.8,5982,4.493,0.96
CONFIRMED,CANDIDATE,0,0,0,0,7.886632468,360.514132,0.048,5.2147,6.33E+03,8.99,996,232.07,392.3,5847,4.304,1.135
CONFIRMED,CANDIDATE,0,0,0,0,8.027681123,360.171355,0.495,3.0942,8.73E+03,8.43,824,109.35,461.5,5569,4.546,0.887
