# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 11:20:40 2025
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
#
toi,tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
1077.01,PC,2458654.1027390,1.6062693,1.9561305,16725.3019333,12.6436029,844.2700581,1374.8018137,13.4610000,463.6830000,5192.0000000,4.4617000,0.9843260
1078.01,CP,2458654.1033200,0.5182425,0.8565249,831.8920424,1.3485121,255.1405815,1019.3295979,10.1165000,20.3730000,3325.0000000,4.8869300,0.3909890
1079.01,PC,2458656.3803570,3.1644075,2.0576293,5603.4635466,14.8814743,2206.1550476,1747.9490013,13.1284000,1179.2700000,6519.0000000,4.2206800,1.7234000
108.01,KP,2458328.0838300,3.0440541,2.5984575,22236.0165376,12.1086799,315.9871326,1075.3184542,13.1630000,421.8550000,5523.0000000,4.5219200,0.8098680
1080.01,PC,2458654.0605770,3.9652485,1.0112593,3680.7544436,1.2305102,5.2829448,386.6684768,12.7067000,25.5590000,3296.0000000,4.9663600,0.1999880
1081.01,PC,2458654.0261190,2.9827800,3.1095280,6136.2316620,11.4670110,,,11.5247000,354.0500000,6027.0000000,4.2997800,1.2397500
1082.01,PC,2458626.0856960,16.3469053,3.5865698,2212.4257252,3.5059571,8.9995944,441.7489067,11.8835000,100.2480000,4310.0000000,4.5734500,0.6496130
1083.01,PC,2458627.9159740,12.9802953,2.5034417,2407.2608671,2.4241912,4.7341229,376.2093904,12.0936000,68.9109000,3614.0000000,4.8125700,0.4913230
1084.01,KP,2458653.9733050,1.3484961,2.4074261,18463.7636682,15.8824638,2706.9606225,1839.6713042,12.2851000,494.1820000,6346.0000000,4.3848400,1.1475900
1085.01,APC,2460041.1750970,3.2541181,4.3410000,13620.0000000,14.9476000,1436.4500000,,11.6577000,444.0660000,6102.0000000,4.2864900,1.2800000
1086.01,PC,2458655.2914990,3.7178828,5.5277827,4864.8405125,14.6986197,1925.1426172,1689.4116185,12.2303000,736.3970000,5818.0000000,4.3378700,2.0840001
1087.01,FP,2458630.7719400,9.3099200,3.4640000,2220.0000000,14.2968000,215.2080000,1067.0000000,9.4142000,416.2500000,6907.0000000,3.6300000,3.0900000
1088.01,FA,2458626.3895500,1.1539500,2.2360000,1550.0000000,5.4836400,3534.3000000,2148.0000000,10.4613000,240.9010000,6093.0000000,4.2000000,1.4000000
1089.01,FP,2458643.1026400,4.7370300,3.9020000,2410.0000000,25.7144000,53821.0000000,4243.0000000,10.3918000,778.1270000,11600.0000000,4.1300000,2.4800000
109.01,KP,2458326.1274790,2.7667600,2.6872178,14947.4387827,12.2867389,505.8840075,1209.5741229,13.2366000,513.0110000,5346.0000000,4.4882300,0.9848660
1090.01,FP,2458628.9631600,2.1929600,4.5860000,4933.7400000,22.7769000,31883.5000000,3722.0000000,10.0196000,566.5020000,7009.8000000,3.6000000,2.9500000
1091.01,PC,2459359.5552100,1.7258410,3.6740000,2710.0000000,15.0024000,50469.2000000,4175.0000000,9.3529000,321.6710000,7348.0000000,3.9000000,2.3900000
1092.01,FP,2458601.3809600,1.1923000,3.1190000,3730.0000000,30.6660000,40771.2000000,3958.0000000,9.0039000,209.9190000,6534.0000000,3.9500000,2.0400000
1093.01,FP,2458601.3379100,11.4760600,6.0830000,3050.0000000,,,,10.0067000,1710.2200000,,,
1094.01,APC,2459360.1605360,0.5971314,0.4680000,910.0000000,9.0838200,1596.4300000,1760.0000000,9.9806000,426.0030000,7710.0000000,3.9800000,2.2800000
1095.01,PC,2459307.3859490,1.4821386,2.1867078,2102.6568299,13.7339261,18197.1354531,2962.2418039,10.4291000,582.5210000,7066.0000000,3.7800000,2.6647301
1096.01,FP,2459307.9357700,0.9209526,1.8602735,360.8801529,5.7349089,32740.3629399,3430.7622437,10.1100000,490.2880000,6553.0000000,3.6500000,2.8908899
1097.01,CP,2459376.4105180,9.1885060,2.4920000,460.0000000,2.1659100,63.4589000,786.0000000,8.7215000,79.5561000,5876.0000000,4.4800000,0.9800000
1097.02,CP,2459344.4618270,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,8.7215000,79.5561000,5876.0000000,4.4800000,0.9832150
1098.01,CP,2458629.9090820,10.1826983,2.8275109,667.4752458,3.0538057,198.3947830,957.1991659,8.7581000,105.0960000,6153.0000000,4.3481400,1.1458200
1099.01,CP,2460140.2209270,6.4410060,1.8120000,914.0000000,2.5637400,87.8902000,853.0000000,7.3661000,23.6060000,4867.0000000,4.4380000,0.8000000
110.01,KP,2458328.0399340,3.1743504,2.7510860,15457.3247576,14.9172256,718.9096994,1320.6518234,11.6714000,342.1400000,5943.0000000,4.4252400,1.1570600
1100.01,FP,2459044.4945310,20.0731588,3.8449215,1152.9645461,4.0506906,69.3993155,736.1368293,10.5135000,205.4300000,6033.0000000,4.3700000,1.1484900
1101.01,FP,2459058.7927700,2.6690300,1.5480000,3110.0000000,9.3682300,429.8600000,1268.0000000,10.5891000,262.7940000,5803.5000000,4.0700000,1.5600000
1102.01,FP,2458627.8042300,6.6337100,2.1220000,1555.3400000,2.7537500,22.9987000,610.0000000,10.5652000,58.0624000,4138.1000000,4.5400000,0.6300000
1103.01,PC,2459037.6555260,2.9430800,4.0730000,4490.0000000,45.3525000,2533.3400000,1976.0000000,10.5598000,320.2120000,4437.0000000,,3.1300000
1104.01,FP,2459367.0343270,341.2811281,6.3030260,972.5797241,4.7531892,121.1597998,846.1734340,7.5622000,70.0154000,6058.6000000,4.2000000,1.3920300
1105.01,PC,2460086.9794460,10.8680523,2.3750000,1553.0000000,2.9072600,20.7383000,594.0000000,10.2809000,79.5225000,4664.0000000,4.5500000,0.7600000
