Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,3.1644075,2.0576293,5603.463547,14.8814743,2206.155048,1747.949001,6519.0,4.22068,1.7234
1,3.0440541,2.5984575,22236.01654,12.1086799,315.9871326,1075.318454,5523.0,4.52192,0.809868
1,3.9652485,1.0112593,3680.754444,1.2305102,5.2829448,386.6684768,3296.0,4.96636,0.199988
1,16.3469053,3.5865698,2212.425725,3.5059571,8.9995944,441.7489067,4310.0,4.57345,0.649613
1,12.9802953,2.5034417,2407.260867,2.4241912,4.7341229,376.2093904,3614.0,4.81257,0.491323
1,1.3484961,2.4074261,18463.76367,15.8824638,2706.960623,1839.671304,6346.0,4.38484,1.14759
1,3.7178828,5.5277827,4864.840513,14.6986197,1925.142617,1689.411619,5818.0,4.33787,2.0840001
0,9.30992,3.464,2220.0,14.2968,215.208,1067.0,6907.0,3.63,3.09
0,1.15395,2.236,1550.0,5.48364,3534.3,2148.0,6093.0,4.2,1.4
0,4.73703,3.902,2410.0,25.7144,53821.0,4243.0,11600.0,4.13,2.48
1,2.76676,2.6872178,14947.43878,12.2867389,505.8840075,1209.574123,5346.0,4.48823,0.984866
0,2.19296,4.586,4933.74,22.7769,31883.5,3722.0,7009.8,3.6,2.95
1,1.725841,3.674,2710.0,15.0024,50469.2,4175.0,7348.0,3.9,2.39
0,1.1923,3.119,3730.0,30.666,40771.2,3958.0,6534.0,3.95,2.04
1,1.4821386,2.1867078,2102.65683,13.7339261,18197.13545,2962.241804,7066.0,3.78,2.6647301
0,0.9209526,1.8602735,360.8801529,5.7349089,32740.36294,3430.762244,6553.0,3.65,2.8908899
1,9.188506,2.492,460.0,2.16591,63.4589,786.0,5876.0,4.48,0.98
1,13.9028391,2.1264429,647.2701039,2.6136848,77.4841883,756.6987586,5876.0,4.48,0.983215
1,10.1826983,2.8275109,667.4752458,3.0538057,198.394783,957.1991659,6153.0,4.34814,1.14582
1,6.441006,1.812,914.0,2.56374,87.8902,853.0,4867.0,4.438,0.8
1,3.1743504,2.751086,15457.32476,14.9172256,718.9096994,1320.651823,5943.0,4.42524,1.15706
0,20.0731588,3.8449215,1152.964546,4.0506906,69.3993155,736.1368293,6033.0,4.37,1.14849
0,2.66903,1.548,3110.0,9.36823,429.86,1268.0,5803.5,4.07,1.56
0,6.63371,2.122,1555.34,2.75375,22.9987,610.0,4138.1,4.54,0.63
0,341.2811281,6.303026,972.5797241,4.7531892,121.1597998,846.173434,6058.6,4.2,1.39203
1,10.8680523,2.375,1553.0,2.90726,20.7383,594.0,4664.0,4.55,0.76
1,4.0782392,4.8475616,6046.695969,13.898174,1619.008123,1617.82673,6501.0,4.08,1.74836
0,7.04083,2.979,1580.0,8.46404,852.336,1505.0,5317.0,4.49,0.91
1,2.1061569,1.4688934,12142.22385,13.086872,691.8428073,1308.041753,5380.0,4.4337,0.940697
0,2.4545635,2.321,4248.0,11.1276,2162.73,1899.0,6610.0,4.15,1.64
0,11.4756978,0.808,8341.0,14.1098,11.4585,512.0,7262.0,4.0,2.13
0,2.78186,2.456,490.0,4.92567,1323.21,1680.0,6819.0,3.92,2.21
0,6.4410082,1.798,7076.0,4.59203,8.2114,471.0,3469.0,4.71,0.53
1,5.0100708,2.0644756,409.4812214,2.3107394,210.6631712,971.6657708,5551.0,4.46214,0.906282
1,2.2281625,2.015,630.0,2.56778,702.927,1434.0,5731.0,4.43,1.02
1,2.4997996,2.865171,14621.20596,13.8516093,907.8624196,1399.989438,5650.0,4.28867,1.13732
0,1.66226,3.321,6030.0,13.3343,7149.89,2561.0,7301.0,4.23,1.64
1,0.7724825,1.3744974,211.3168519,4.1624907,60276.50005,3996.287792,8271.0,3.95,2.5027299
0,1.6268695,3.231,1502.0,2.36498,1946.23,1850.0,5034.0,4.64,0.73
0,13.5499,1.795,1180.0,6.24633,31.6652,660.0,6209.0,4.09,1.63
0,4.43651,3.365,1520.0,19.9664,8233.41,2653.0,7101.9,3.91,2.32
1,3.372877,2.63426,17163.60419,14.201803,615.165921,1270.187448,6050.0,4.45061,1.02
1,8.34998,1.836,16680.0,11.1424,19.9348,588.0,4236.0,4.52,0.74
1,4.0686405,1.8373729,2650.095001,3.7548333,84.108766,772.378302,4236.0,4.52,0.741921
1,0.5860366,0.8098934,410.5241553,4.906408,26813.10571,3263.672181,5579.0,3.67,2.39803
0,1.5502952,2.938,411.0,3.34528,10796.6,2839.0,7851.0,4.17,1.86
0,1.80709,3.297,450.0,4.86242,7233.01,2569.0,6244.0,3.84,2.2
0,18.6922101,7.765,11126.0,18.1458,282.175,1141.0,6277.0,4.09,1.65
1,8.0277326,4.284,5705.0,9.06883,248.619,1106.0,5962.7,4.38,1.15
1,12.5187279,5.38,2320.0,5.58857,626.362,1393.0,5729.0,4.47,0.98
1,6.2586065,3.201,813.0,2.51593,232.392,1087.0,5729.0,4.47,0.98
1,26.3208756,4.414,800.0,2.71349,26.4328,631.0,5729.0,4.47,0.98
1,18.795547,4.3425576,470.6731965,2.1597669,48.477077,672.9826313,5729.0,4.47,0.977727
0,0.64971,2.076,620.0,6.23181,83182.0,4731.0,9994.0,4.02,2.59
1,4.4780798,4.513,1054.0,11.3678,31621.7,3715.0,7947.0,4.2,1.83
1,3.2887898,3.4367717,7005.72479,10.5135877,759.3373533,1338.839265,5800.0,4.28004,1.24175
0,16.9487087,4.2887767,156467.548,45.2204505,78.263287,758.5937679,5894.7,4.37,1.1179
