Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
CANDIDATE,3.04033046,1.8411,10900.0,8.99,257.29,1021.0,5035.0,4.519,0.791
CANDIDATE,15.33528675,3.897,3080.0,5.0,32.67,610.0,5251.0,4.581,0.817
CANDIDATE,7.95825328,4.377,50.0,1.06,314.15,1074.0,5847.0,4.191,1.402
CANDIDATE,31.33046135,5.176,5070.0,6.5,12.61,481.0,5251.0,4.581,0.817
FALSE POSITIVE,3.9043425,3.831,16200.0,12.28,351.05,1104.0,5810.0,4.526,0.898
FALSE POSITIVE,9.286358079,3.49949,44800.0,17.61,95.03,796.0,5670.0,4.523,0.821
FALSE POSITIVE,3.951405455,2.1862,2450.0,31.44,388.71,1133.0,6046.0,4.539,0.869
CANDIDATE,23.65369415,8.2183,3340.0,7.89,67.65,731.0,5739.0,4.191,1.384
CANDIDATE,13.23352214,6.7372,505.0,3.06,146.67,888.0,5739.0,4.191,1.384
CANDIDATE,6.15560285,4.9843,285.0,2.32,406.94,1146.0,5739.0,4.191,1.384
CANDIDATE,2.090811305,3.388,116.0,1.62,1718.04,1642.0,5739.0,4.191,1.384
CANDIDATE,3.180027898,3.5797,120.0,1.53,1066.86,1458.0,5847.0,4.191,1.402
CANDIDATE,50.4467417,7.159,370.0,2.67,24.64,568.0,5739.0,4.191,1.384
CANDIDATE,11.76307164,2.9076,1040.0,2.35,33.99,616.0,4959.0,4.603,0.756
CANDIDATE,56.2279271,3.57,863.0,2.37,4.22,366.0,4959.0,4.603,0.756
FALSE POSITIVE,2.384052875,3.0918,1270.0,17.06,244.87,1010.0,4794.0,4.58,0.701
CANDIDATE,7.953547,2.6312,875.0,2.25,55.37,696.0,4768.0,4.536,0.779
CANDIDATE,4.14451656,2.3421,392.0,1.48,132.08,864.0,4768.0,4.536,0.779
FALSE POSITIVE,4.859386384,2.2757,6040.0,38.33,364.23,1114.0,6072.0,4.47,0.988
CANDIDATE,10.52629458,2.5211,9770.0,8.24,61.16,713.0,5386.0,4.553,0.793
CANDIDATE,4.583520948,2.7055,3810.0,5.39,274.98,1038.0,5815.0,4.54,0.877
CANDIDATE,3.76181843,3.5176,511.0,2.66,372.62,1121.0,5653.0,4.472,0.949
CANDIDATE,8.20396958,2.9667,1020.0,3.01,71.5,742.0,5015.0,4.499,0.826
CANDIDATE,14.49645186,4.016,648.0,3.01,33.48,613.0,5015.0,4.499,0.826
CANDIDATE,6.54626149,2.75,656.0,2.19,101.78,810.0,5251.0,4.581,0.817
CANDIDATE,12.71809866,3.0957,1150.0,2.31,23.6,562.0,4702.0,4.592,0.686
CANDIDATE,36.06588163,4.3246,1560.0,2.64,5.88,397.0,4702.0,4.592,0.686
CANDIDATE,4.190425659,2.8589,2880.0,6.21,547.9,1234.0,6073.0,4.392,1.135
CANDIDATE,3.709870784,3.0694,2020.0,4.35,415.1,1151.0,5727.0,4.463,0.978
CANDIDATE,16.3297527,6.271,1190.0,3.75,66.08,727.0,5878.0,4.444,0.987
CANDIDATE,27.80756622,4.21587,25400.0,13.84,22.24,554.0,5862.0,4.584,0.785
CANDIDATE,80.8723469,11.195,3600.0,7.59,9.88,452.0,5510.0,4.222,1.238
FALSE POSITIVE,3.166465862,2.9381,4360.0,26.82,196.31,954.0,4968.0,4.575,0.704
CANDIDATE,24.99324319,5.9409,270.0,2.29,60.88,712.0,5718.0,4.181,1.317
CANDIDATE,10.35533116,3.1775,751.0,2.47,86.22,777.0,5501.0,4.462,0.918
CANDIDATE,16.08518937,3.984,1440.0,3.68,33.43,613.0,5239.0,4.523,0.826
CANDIDATE,235.9986399,8.2284,20700.0,10.59,0.29,188.0,4245.0,4.627,0.657
CANDIDATE,7.49018305,2.7297,1120.0,2.56,76.06,753.0,5103.0,4.562,0.787
CANDIDATE,36.2761238,4.7865,1570.0,3.03,9.29,445.0,5103.0,4.562,0.787
CANDIDATE,17.46087931,2.2641,812.0,2.32,24.6,568.0,5103.0,4.562,0.787
CANDIDATE,56.0560754,4.685,1630.0,1.94,0.69,233.0,3593.0,4.757,0.491
CANDIDATE,41.40831669,5.0264,22800.0,11.38,9.93,453.0,5522.0,4.586,0.747
CANDIDATE,39.74893077,7.3051,15200.0,14.21,21.87,552.0,6122.0,4.487,0.964
CANDIDATE,5.715425977,2.5242,908.0,2.47,123.03,850.0,5237.0,4.572,0.826
CANDIDATE,49.18394185,11.3364,1650.0,8.2,47.4,669.0,5626.0,3.907,2.057
CANDIDATE,20.0261412,1.611,421.0,2.28,23.14,559.0,5237.0,4.572,0.826
CANDIDATE,13.61014819,2.594,5730.0,19.02,68.29,733.0,5697.0,4.46,0.903
FALSE POSITIVE,10.44331991,2.743,1160.0,2.66,46.94,667.0,4947.0,4.516,0.802
CANDIDATE,2.237489571,1.8119,316.0,1.41,427.17,1160.0,5265.0,4.58,0.81
FALSE POSITIVE,5.851520671,3.11058,33000.0,14.62,155.89,901.0,5532.0,4.53,0.806
CANDIDATE,3.167893418,2.1814,781.0,2.62,526.23,1221.0,5895.0,4.503,0.94
CANDIDATE,4.311780262,2.7251,1150.0,3.11,274.84,1038.0,5527.0,4.484,0.927
CANDIDATE,20.0504494,4.556,841.0,2.69,35.44,622.0,5527.0,4.484,0.927
CANDIDATE,9.76734503,1.6585,569.0,2.67,92.46,791.0,5527.0,4.484,0.927
CANDIDATE,119.0207044,8.1405,7430.0,8.98,4.25,366.0,5453.0,4.342,1.062
CANDIDATE,190.3200468,15.284,1140.0,7.78,7.8,426.0,5626.0,3.907,2.057
FALSE POSITIVE,2.861159894,1.8832,1010.0,4.37,797.1,1355.0,6126.0,4.458,1.021
CANDIDATE,26.44439337,3.9783,1840.0,3.91,23.54,562.0,5427.0,4.463,0.929
CANDIDATE,51.53997972,6.3994,3640.0,5.51,9.67,450.0,5427.0,4.463,0.929
CANDIDATE,5.902245782,2.9003,702.0,2.43,173.74,926.0,5427.0,4.463,0.929
CANDIDATE,2.382951591,1.8876,392.0,1.86,583.01,1253.0,5427.0,4.463,0.929
CANDIDATE,21.02250608,4.1072,1770.0,3.07,17.48,521.0,5067.0,4.585,0.75
CANDIDATE,3.219814777,2.0642,488.0,1.69,234.93,998.0,5103.0,4.562,0.787
CANDIDATE,5.912273234,2.3254,961.0,1.73,27.72,585.0,4072.0,4.696,0.57
CANDIDATE,8.98581901,2.8606,881.0,1.65,15.9,509.0,4072.0,4.696,0.57
CANDIDATE,12.94066866,2.4845,42500.0,22.94,64.64,723.0,5875.0,4.572,0.809
FALSE POSITIVE,20.5452375,2.517,219.0,2.41,71.57,742.0,5670.0,4.206,1.264
CANDIDATE,33.60123371,4.4056,7430.0,8.46,14.22,495.0,5149.0,4.447,0.93
CANDIDATE,6.76652928,2.9004,451.0,1.97,120.48,845.0,5149.0,4.447,0.93
CANDIDATE,4.347288783,2.1024,452.0,2.36,449.79,1174.0,5754.0,4.345,1.122
CANDIDATE,4.601811819,2.2607,756.0,2.35,152.91,896.0,4986.0,4.496,0.833
CANDIDATE,11.18719905,3.252,354.0,1.55,46.65,667.0,4986.0,4.496,0.833
CANDIDATE,4.220965778,3.0854,2260.0,2.62,29.68,595.0,3837.0,4.747,0.517
FALSE POSITIVE,6.998099523,2.0488,20300.0,588.66,125.22,853.0,5612.0,4.566,0.829
CANDIDATE,5.95489993,2.3892,1410.0,2.33,38.52,635.0,4261.0,4.641,0.633
CANDIDATE,12.03987488,2.7363,1250.0,2.18,15.06,502.0,4261.0,4.641,0.633
CANDIDATE,20.83762895,2.3734,439.0,1.42,7.24,418.0,4261.0,4.641,0.633
FALSE POSITIVE,8.8111022,5.0683,401.0,63.66,904.92,1399.0,6200.0,3.8,2.404
CANDIDATE,23.58917143,5.073,1200.0,3.16,13.34,487.0,4919.0,4.566,0.721
CANDIDATE,6.481633073,3.784,299.0,2.54,406.25,1145.0,5945.0,4.213,1.302
CANDIDATE,10.37168928,3.035,1250.0,3.2,63.68,720.0,5121.0,4.457,0.888
CANDIDATE,3.96996298,1.1757,299.0,1.78,229.37,992.0,5121.0,4.457,0.888
CANDIDATE,4.40841331,5.012,549.0,2.66,398.0,1139.0,6007.0,4.457,0.961
FALSE POSITIVE,7.9426176,6.703,1590.0,4.68,140.57,878.0,5811.0,4.521,0.926
CANDIDATE,226.8904775,7.558,3140.0,4.53,0.73,236.0,5067.0,4.585,0.75
FALSE POSITIVE,1.956811408,2.1958,24900.0,21.58,357.16,1109.0,5209.0,4.657,0.603
CANDIDATE,2.688899233,2.11275,37500.0,12.04,175.76,929.0,4820.0,4.667,0.639
CANDIDATE,9.439459486,2.8979,3040.0,4.16,52.32,686.0,5097.0,4.597,0.779
CANDIDATE,11.52306746,3.8757,507.0,3.13,174.81,927.0,5644.0,4.162,1.411
CANDIDATE,20.47748843,2.8364,1380.0,2.92,18.65,530.0,5097.0,4.597,0.779
CANDIDATE,3.336123113,1.9616,516.0,1.74,209.79,970.0,5097.0,4.597,0.779
CANDIDATE,8.01078456,2.312,1330.0,1.72,9.9,453.0,3713.0,4.779,0.47
CANDIDATE,12.07134205,4.3224,759.0,1.29,5.74,395.0,3713.0,4.779,0.47
CANDIDATE,20.99587872,2.6333,767.0,1.3,2.74,328.0,3713.0,4.779,0.47
CANDIDATE,7.41113177,2.5242,621.0,2.45,158.11,905.0,5849.0,4.517,0.919
FALSE POSITIVE,1.000747038,0.9967,1820.0,4.14,1635.2,1620.0,5472.0,4.499,0.79
CANDIDATE,8.884922995,2.07004,16100.0,10.51,83.21,770.0,5332.0,4.5,0.843
CANDIDATE,8.09888906,4.20241,6910.0,8.95,223.19,986.0,6214.0,4.442,1.076
CANDIDATE,10.00653012,5.344,936.0,3.52,139.21,876.0,6063.0,4.47,1.001
CANDIDATE,17.85522168,7.41287,9070.0,13.16,163.04,911.0,6823.0,4.308,1.367
CANDIDATE,12.73262407,2.2083,6470.0,4.87,8.22,432.0,3950.0,4.721,0.541
CANDIDATE,83.92494032,6.7904,7960.0,4.78,0.62,226.0,3960.0,4.746,0.509
CANDIDATE,5.007316661,4.2362,6930.0,6.96,234.28,998.0,5865.0,4.563,0.827
CANDIDATE,2.211116989,1.6485,724.0,1.85,177.19,931.0,4500.0,4.656,0.646
CANDIDATE,27.9541337,3.95,943.0,1.9,6.04,400.0,4500.0,4.656,0.646
CANDIDATE,12.69104387,3.7727,252.0,2.57,244.3,1008.0,5869.0,4.024,1.626
FALSE POSITIVE,4.409409243,3.8636,12900.0,10.95,347.06,1101.0,5600.0,4.368,0.975
CANDIDATE,16.23947096,4.0374,2590.0,4.14,30.14,598.0,5191.0,4.564,0.837
CANDIDATE,6.308201629,2.9785,1330.0,2.96,106.44,819.0,5191.0,4.564,0.837
