Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
0,3.951405455,2.1862,2450,31.44,388.71,1133,6046,4.539,0.869
1,23.65369415,8.2183,3340,7.89,67.65,731,5739,4.191,1.384
1,13.23352214,6.7372,505,3.06,146.67,888,5739,4.191,1.384
1,6.15560285,4.9843,285,2.32,406.94,1146,5739,4.191,1.384
1,2.090811305,3.388,116,1.62,1718.04,1642,5739,4.191,1.384
0,0,0,0,0,0,0,0,0,0
1,3.180027898,3.5797,120,1.53,1066.86,1458,5847,4.191,1.402
1,50.4467417,7.159,370,2.67,24.64,568,5739,4.191,1.384
1,11.76307164,2.9076,1040,2.35,33.99,616,4959,4.603,0.756
1,56.2279271,3.57,863,2.37,4.22,366,4959,4.603,0.756
0,2.384052875,3.0918,1270,17.06,244.87,1010,4794,4.58,0.701
1,7.953547,2.6312,875,2.25,55.37,696,4768,4.536,0.779
1,4.14451656,2.3421,392,1.48,132.08,864,4768,4.536,0.779
0,4.859386384,2.2757,6040,38.33,364.23,1114,6072,4.47,0.988
1,10.52629458,2.5211,9770,8.24,61.16,713,5386,4.553,0.793
1,4.583520948,2.7055,3810,5.39,274.98,1038,5815,4.54,0.877
1,3.76181843,3.5176,511,2.66,372.62,1121,5653,4.472,0.949
1,8.20396958,2.9667,1020,3.01,71.5,742,5015,4.499,0.826
1,14.49645186,4.016,648,3.01,33.48,613,5015,4.499,0.826
1,6.54626149,2.75,656,2.19,101.78,810,5251,4.581,0.817
1,12.71809866,3.0957,1150,2.31,23.6,562,4702,4.592,0.686
1,36.06588163,4.3246,1560,2.64,5.88,397,4702,4.592,0.686
1,4.190425659,2.8589,2880,6.21,547.9,1234,6073,4.392,1.135
1,3.709870784,3.0694,2020,4.35,415.1,1151,5727,4.463,0.978
1,16.3297527,6.271,1190,3.75,66.08,727,5878,4.444,0.987
1,27.80756622,4.21587,25400,13.84,22.24,554,5862,4.584,0.785
1,80.8723469,11.195,3600,7.59,9.88,452,5510,4.222,1.238
0,0,0,0,0,0,0,0,0,0
0,3.166465862,2.9381,4360,26.82,196.31,954,4968,4.575,0.704
1,24.99324319,5.9409,270,2.29,60.88,712,5718,4.181,1.317
1,10.35533116,3.1775,751,2.47,86.22,777,5501,4.462,0.918
1,16.08518937,3.984,1440,3.68,33.43,613,5239,4.523,0.826
1,235.9986399,8.2284,20700,10.59,0.29,188,4245,4.627,0.657
1,7.49018305,2.7297,1120,2.56,76.06,753,5103,4.562,0.787
1,36.2761238,4.7865,1570,3.03,9.29,445,5103,4.562,0.787
1,17.46087931,2.2641,812,2.32,24.6,568,5103,4.562,0.787
1,56.0560754,4.685,1630,1.94,0.69,233,3593,4.757,0.491
1,41.40831669,5.0264,22800,11.38,9.93,453,5522,4.586,0.747
1,39.74893077,7.3051,15200,14.21,21.87,552,6122,4.487,0.964
1,5.715425977,2.5242,908,2.47,123.03,850,5237,4.572,0.826
1,49.18394185,11.3364,1650,8.2,47.4,669,5626,3.907,2.057
1,20.0261412,1.611,421,2.28,23.14,559,5237,4.572,0.826
0,1,1,1,1,1,1,1,1,1
1,13.61014819,2.594,5730,19.02,68.29,733,5697,4.46,0.903
0,10.44331991,2.743,1160,2.66,46.94,667,4947,4.516,0.802
1,2.237489571,1.8119,316,1.41,427.17,1160,5265,4.58,0.81
0,5.851520671,3.11058,33000,14.62,155.89,901,5532,4.53,0.806
1,3.167893418,2.1814,781,2.62,526.23,1221,5895,4.503,0.94
